um-hum	3763	B
uh baseball	3763	B
well i've been kind of been intrigued with the Rangers	3763	B
uh	3763	B
more so with uh	3763	B
uh their management than anything else i'd i don't follow baseball that that closely	3763	B
but uh since- you know since i live here so close to Arlington uh	3763	B
that's the team that i've been kind of following	3763	B
um-hum	3763	B
right	3763	B
well i think that uh	3763	B
you know with uh	3763	B
so much controversy over Ruben Sierra not signing and asking us for so much money it's um	3763	B
you know i think	3763	B
i'm not real sure about that- do you know anything about Ruben Sierra's uh	3763	B
yeah that he was willing to come down a little bit and uh if the Rangers will go up a little bit	3763	B
yeah but a little bit from three you know from thirty million dollars or thirty five million- that's a lot of money	3763	B
yeah they are	3763	B
um-hum and i really think i really think that uh that they ought to	3763	B
i'm not real sure that they should pay him that much money i think they should uh	3763	B
uh pay him what his salary's going to be	3763	B
uh and let him because he's got one more year before he turns into a a free agent	3763	B
and then uh who knows if he produces next year they may have to end up paying him anyway	3763	B
but if he doesn't then his market value will go down and they can pick him up for for a lot less than than they would uh if they paid him the six- you know the six million dollars a year this year	3763	B
uh-huh	3763	B
oh yeah but you know what he that was a great deal for him	3763	B
yeah it was a great deal for him and and uh he just signed on uh i think it was like a five year deal with uh	3763	B
Pittsburgh so you know he's real happy there as far as the Rangers are concerned i think	3763	B
i think they need some definitely need some pitching	3763	B
uh	3763	B
and so i you know i	3763	B
um the pitching coach	3763	B
well you know i was just looking at the news tonight and they showed a a a black guy that was going- was helping out uh	3763	B
his assistant and i think that's a a great addition i mean he seemed to know what he was doing and and uh	3763	B
oh you don't like Howse huh	3763	B
oh Tom Grieve	3763	B
yeah i'm i'm not sure that um that they're ready to get rid of of uh Tom Grieve yet	3763	B
but Howse might be a different uh situation and i think you're probably right that they	3763	B
that they need some you know some changes in uh pitching coach maybe and	3763	B
um	3763	B
you do huh	3763	B
that's contrary to uh popular belief you know	3763	B
oh i know you know it's too bad that uh it has to be a forty two year old guy to to lead the uh the Rangers you know	3763	B
they need to have some some young guys that can take the lead and	3763	B
and uh	3763	B
yeah	3763	B
are you there okay now tell me your favorite team	3763	A
yes	3763	A
okay i think it's a little bit late in the season for them to assign us where do you think they're headed	3763	A
so we'll have to talk about the future with the Rangers	3763	A
what are your thinkings on what they can do what they'll be able to do	3763	A
well i heard tonight on the news that he is willing to come down on his	3763	A
yes and the Rangers go up a little bit um-hum	3763	A
i think the entire baseball yeah they're the ones that probably are paying the highest	3763	A
and i think this is absolutely ridiculous	3763	A
no	3763	A
that's right	3763	A
what i saw on the news today that Buechele- Buechele was back just to visit	3763	A
i'm awful sorry he's not still	3763	A
oh i'm sure it was	3763	A
Pittsburgh yeah	3763	A
yes sir	3763	A
well what do you think of Howse	3763	A
who is the coach for the pitchers	3763	A
yes	3763	A
his assistant	3763	A
um-hum	3763	A
i really wish they could	3763	A
see fit to get rid of Howse	3763	A
no no i really don't	3763	A
and i'm not going to stand up you know on my soapbox and say that but i'm not fond of Howse and i'm not fond of Grieves	3763	A
yeah	3763	A
well i'm just gullible enough that i think Bobby Valentine is um uh doing all right	3763	A
and i'm sure well	3763	A
oh i know i know so but i would like so much	3763	A
for these Rangers to get their act together and give um	3763	A
oh uh Nolan Ryan the support he needs	3763	A
i understand	3763	A
well	3763	A
i just oh i have so many mixed emotions about all this but i think with their new stadium they should go and let's us have-	3763	A
do work in a large organization now	3724	A
